,CODST,CMR,JU,CODGE,NUME,Autonoma,Lat,Lon,Z,X,Y,Rugozitate,cr
112,15341,Oltenia,GJ,501252,Apa Neagra,0,44.9968,22.8595,250,331397.1833,390786.0314,0.03,1
62,15208,TransilvaniaS,AB,604335,Alba Iulia,0,46.0639,23.5634,246,389023.5239,508112.1473,0.05,1
56,15194,Moldova,BC,617637,Tg. Ocna,0,46.2727,26.641,242,626603.1296,531618.573,0.5,1
87,15292,Banat-Crisana,CS,525215,Caransebes,0,45.4171,22.2263,241,283105.9637,439006.1756,0.3,1
67,15230,Banat-Crisana,HD,553254,Deva,0,45.8649,22.8988,240,337036.1894,487150.3556,0.1,1
116,15346,Oltenia,VL,506422,Ramnicu Valcea,0,45.0888,24.3628,237,449991.6613,398954.2491,0.75,1
19,15083,TransilvaniaN,CJ,709352,Dej,0,47.128,23.8989,232,416619.0257,625947.1085,0.5,1
133,15408,Dobrogea,TL,444820,Corugea,0,44.7343,28.342,219.2,764815.9816,364877.4654,0.5,1
55,15189,TransilvaniaS,SB,614436,Dumbraveni,1,46.2279,24.5916,218,468650.4219,525407.3,0.05,1
29,15111,Moldova,NT,655650,Roman,0,46.9691,26.9118,216,645594.2114,609467.6878,0.05,1
137,15416,Muntenia,AG,436447,Stolnici,0,44.5627,24.7898,208.72,483448.6352,340316.2655,0.05,1
111,15340,Oltenia,GJ,502317,Tg. Jiu,0,45.0406,23.2593,204.26,363021.6297,394891.4258,0.5,1
147,15450,Oltenia,DJ,414352,Craiova,0,44.3101,23.867,192,409742.7976,312863.0439,0.1,1
122,15366,Banat-Crisana,CS,452230,Baile Herculane,0,44.881,22.4164,190,296058.3449,378955.2394,0.03,1
